2	-1.377	 1.295
2	-1.864	 2.319
4	-1.848	-2.854
1	 1.605	 1.382
4	 2.660	-4.113
3	-1.936	 0.295
4	 2.133	-5.212
1	 1.320	 1.448
1	 2.007	 1.957
1	 1.845	 1.357
2	-0.380	 1.741
1	 2.752	 0.707
4	 4.664	-2.697
1	 2.303	 1.955
1	 1.619	 2.171
1	 2.807	 2.015
2	-2.387	 1.593
3	-1.832	 0.278
3	-1.779	 0.328
2	-1.609	 1.518
4	 0.440	 0.128
4	-0.340	-3.310
4	-0.323	-2.843
4	 2.400	-2.379
2	-2.443	 2.006
1	 1.984	 2.450
4	-0.160	-2.001
4	 1.710	-0.575
1	 2.644	 1.757
4	 0.848	-0.664
4	-0.655	-1.674
4	 0.014	-1.281
2	-1.925	 1.873
3	-2.430	 0.127
1	 2.829	 2.230
2	-0.755	 3.367
4	-2.311	-2.205
4	 3.033	-3.181
2	-1.335	 2.342
3	-2.070	 0.216
4	 1.918	-1.745
2	-1.236	 1.771
1	 2.029	 1.493
3	-2.074	 0.093
2	-1.388	 2.246
2	-0.556	 2.365
1	 1.518	 1.304
1	 2.099	 1.522
4	 2.414	-1.670
2	-2.336	 3.390
3	-2.461	-0.816
1	 1.948	 1.637
2	-1.639	 2.563
2	-0.685	 1.409
2	-1.184	 3.353
2	-2.047	 2.975
3	-1.810	 0.172
2	-2.564	 2.048
2	-2.463	 3.420
1	 2.653	 1.680
1	 1.355	 2.292
4	-0.034	-0.560
4	 0.559	-3.038
1	 1.926	 1.204
4	 1.341	-2.810
3	-1.244	 0.259
3	-1.341	-0.158
2	-1.135	 0.405
2	-2.495	 2.441
3	-2.488	-0.209
4	 2.956	-1.767
2	-1.831	 1.533
3	-2.299	 0.223
2	-2.498	 2.397
4	-2.627	 1.947
2	-2.575	 3.636
4	-1.142	-1.789
4	 1.424	 1.142
3	-1.857	 0.101
1	 2.075	 2.451
4	 0.135	-3.752
1	 0.821	 1.593
4	 2.849	-1.582
1	 2.366	 2.042
2	-3.791	 3.170
2	-0.489	 2.188
1	 2.397	 2.199
4	 1.521	-0.929
3	-1.111	-0.728
3	-1.833	 0.291
2	-1.165	 2.483
1	 2.041	 2.328
3	-1.408	 0.049
2	-1.628	 2.548
2	-2.567	 2.136
3	-1.898	-0.540
3	-1.843	 0.173
2	-1.344	 4.396
1	 1.873	 1.761
4	 1.403	-3.621
1	 2.042	 1.841
1	 1.743	 2.110
4	-1.374	-2.824
2	-0.502	 3.113
2	-1.437	 1.008
3	-2.780	 0.507
2	-1.876	 3.387
1	 1.857	 2.581
2	-2.410	 3.091
